epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
0,random,50000,53,-20.09433962264151,-21,-18,1,0,50000,6.66835,0,0,46.544560000000004,46.544548000000006,1074.239672496121
1,train,250000,266,-20.067669172932305,-21,-16,0.775,250000,300000,-1.82126,0.197364886434,62500,1389.7852719999998,1341.796652,186.31735265352265
1,test,125000,140,-19.992857142857144,-21,-18,0.05,250000,300000,-1.82126,0,62500,1740.71606,350.8889919999999,356.23802071282995
2,train,250000,246,-19.646341463414643,-21,-15,0.55,500000,550000,-1.44803,0.000829718208522,125000,3268.0126990000003,1527.2947510000001,163.68811575913023
2,test,125000,113,-19.0,-21,-13,0.05,500000,550000,-1.44803,0,125000,3619.021,350.98988599999984,356.135618107241
3,train,250000,194,-18.216494845360838,-21,-12,0.32499999999999996,750000,800000,-1.08363,0.000555844062661,187500,5340.934134,1721.911177,145.18751218954426
3,test,125000,77,-17.142857142857142,-21,-11,0.05,750000,800000,-1.08363,0,187500,5691.38169,350.42012799999975,356.7146690843058
4,train,250000,157,-16.987261146496817,-21,-12,0.1,1000000,1000000,-0.937372,0.000453745888424,250000,7592.428187,1901.0442980000007,131.50666728966456
4,test,125000,75,-16.266666666666666,-20,-13,0.05,1000000,1000000,-0.937372,0,250000,7942.076602,349.6266139999998,357.524270163255
5,train,250000,148,-17.00000000000001,-21,-11,0.1,1250000,1000000,-0.813092,0.000378424798923,312500,9928.201619,1986.122962999999,125.87337473928604
5,test,125000,65,-15.2,-20,-10,0.05,1250000,1000000,-0.813092,0,312500,10277.844037,349.6224230000007,357.52855588441406
6,train,250000,141,-15.475177304964545,-20,-10,0.1,1500000,1000000,-0.437833,0.000323861276293,375000,12254.593336,1976.7471839999998,126.47039642880301
6,test,125000,71,-14.464788732394366,-18,-10,0.05,1500000,1000000,-0.437833,0,375000,12603.721243,349.10472200000004,358.0587489160344
7,train,250000,138,-14.057971014492757,-20,-7,0.1,1750000,1000000,-0.363681,0.000256823876812,437500,14576.414476,1972.691342,126.73041883305432
7,test,125000,57,-9.964912280701757,-16,-5,0.05,1750000,1000000,-0.363681,0,437500,14927.144834,350.7032620000009,356.42668188241623
8,train,250000,120,-10.641666666666659,-18,-4,0.1,2000000,1000000,-0.239976,0.000218314989584,500000,16915.005473999998,1987.8587749999988,125.76346123984595
8,test,125000,54,-7.740740740740739,-14,-1,0.05,2000000,1000000,-0.239976,0,500000,17263.907649999997,348.87163800000053,358.297970900116
9,train,250000,112,-9.071428571428575,-16,4,0.1,2250000,1000000,-0.189796,0.000193487621023,562500,19269.092448,2005.1827140000023,124.67691759684685
9,test,125000,52,-8.057692307692307,-15,-1,0.05,2250000,1000000,-0.189796,0,562500,19632.740676999998,363.62014999999883,343.7653276365471
10,train,250000,100,-6.900000000000001,-16,5,0.1,2500000,1000000,0.0856105,0.000163726433683,625000,21577.314695999998,1944.5719119999994,128.5630006569796
10,test,125000,46,-5.0652173913043494,-14,5,0.05,2500000,1000000,0.0856105,0,625000,21926.162332999997,348.82942999999796,358.34132458376786
11,train,250000,89,-4.089887640449438,-16,8,0.1,2750000,1000000,0.132042,0.000165588285067,687500,23940.395622999997,2014.2311349999982,124.11683825947821
11,test,125000,40,0.27500000000000013,-9,9,0.05,2750000,1000000,0.132042,0,687500,24289.514595999997,349.0981639999991,358.0654752455253
12,train,250000,86,-3.999999999999999,-16,8,0.1,3000000,1000000,0.296934,0.000144227504227,750000,26285.407129,1995.8906070000012,125.25736587125482
12,test,125000,41,-2.9999999999999996,-10,5,0.05,3000000,1000000,0.296934,0,750000,26635.078522,349.6483310000003,357.5020639809657
13,train,250000,82,-2.853658536585365,-14,7,0.1,3250000,1000000,0.398675,0.000119946770067,812500,28659.68727,2024.6066470000005,123.48077606602857
13,test,125000,37,2.945945945945945,-8,10,0.05,3250000,1000000,0.398675,0,812500,29008.921639,349.20854099999997,357.95229876694225
14,train,250000,80,-2.5874999999999995,-12,9,0.1,3500000,1000000,0.456844,9.89656390077e-05,875000,31042.516993999998,2033.593452000001,122.93509292829877
14,test,125000,36,3.8611111111111103,-8,10,0.05,3500000,1000000,0.456844,0,875000,31391.340931,348.7972440000012,358.37439128389315
15,train,250000,83,-3.3012048192771073,-13,7,0.1,3750000,1000000,0.335621,9.1814301235e-05,937500,33407.949392,2016.6064259999985,123.97064532610995
15,test,125000,38,3.6578947368421058,-7,11,0.05,3750000,1000000,0.335621,0,937500,33756.911651,348.9380749999982,358.22975179765245
16,train,250000,88,-5.318181818181818,-14,7,0.1,4000000,1000000,0.643552,8.95108000972e-05,1000000,35767.151263,2010.2375769999999,124.36341000703521
16,test,125000,38,-2.368421052631579,-11,5,0.05,4000000,1000000,0.643552,0,1000000,36115.666836000004,348.4893579999989,358.6910105874751
17,train,250000,90,-3.0555555555555545,-14,10,0.1,4250000,1000000,0.47295,7.44081263532e-05,1062500,38128.113408000005,2012.4444060000023,124.22703417527336
17,test,125000,41,5.6829268292682915,-8,14,0.05,4250000,1000000,0.47295,0,1062500,38476.216757,348.0764080000008,359.1165535125831
18,train,250000,88,-1.0340909090909087,-11,11,0.1,4500000,1000000,0.752719,7.45458938844e-05,1125000,40493.364877,2017.1462019999963,123.93747153881336
18,test,125000,38,4.894736842105263,-3,11,0.05,4500000,1000000,0.752719,0,1125000,40842.198520000005,348.8043270000053,358.3671139492433
19,train,250000,83,-0.8192771084337348,-11,10,0.1,4750000,1000000,0.682799,6.89475841022e-05,1187500,42858.19423,2015.993825999998,124.00831628340525
19,test,125000,37,5.135135135135135,-2,11,0.05,4750000,1000000,0.682799,0,1187500,43206.905008,348.6847869999983,358.4899733523522
