epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
0,random,50000,55,-20.32727272727273,-21,-17,1,0,50000,0.0,0,0,3550.4472180000002,3550.4472060000003,14.082732990791582
1,train,250000,274,-20.270072992700726,-21,-17,0.8875,250000,300000,-0.425261,0.00386178154992,62500,21440.846332999998,17889.67584,13.974540524709697
1,test,125000,167,-21.0,-21,-21,0.05,250000,300000,-0.425261,0,62500,30362.095383999997,8921.217518999998,14.011540435347614
2,train,250000,281,-20.29181494661923,-21,-18,0.775,500000,550000,-0.759611,0.0019043035421,125000,48254.620102,17892.521668,13.972317856521821
2,test,125000,159,-20.849056603773583,-21,-18,0.05,500000,550000,-0.759611,0,125000,57163.040071999996,8908.404862999996,14.031692757832852
3,train,250000,288,-20.406250000000004,-21,-18,0.6625,750000,800000,-1.01605,0.00126872775722,187500,75098.94846,17935.905340000005,13.938521377142813
3,test,125000,160,-20.974999999999994,-21,-20,0.05,750000,800000,-1.01605,0,187500,84024.259961,8925.29353000001,14.005141632579994
4,train,250000,291,-20.49828178694158,-21,-17,0.55,1000000,1000000,-1.2251,0.000958323727331,250000,102045.604791,18021.341778,13.872440969139916
4,test,125000,167,-21.0,-21,-21,0.05,1000000,1000000,-1.2251,0,250000,110994.60735399999,8948.982208000001,13.968068892600483
5,train,250000,299,-20.602006688963197,-21,-18,0.4375,1250000,1000000,-1.38966,0.000779630786945,312500,129062.54734,18067.93694700001,13.836665510475443
5,test,125000,161,-20.91304347826087,-21,-20,0.05,1250000,1000000,-1.38966,0,312500,137994.42373600003,8931.857053000014,13.99485003603089
6,train,250000,303,-20.686468646864686,-21,-18,0.32499999999999996,1500000,1000000,-1.53625,0.000662537594686,375000,156051.164606,18056.737737999996,13.845247332461426
6,test,125000,161,-20.96273291925467,-21,-20,0.05,1500000,1000000,-1.53625,0,375000,164957.689404,8906.505137,14.034685668199598
7,train,250000,298,-20.610738255033546,-21,-18,0.2124999999999999,1750000,1000000,-1.65066,0.000574404735501,437500,183032.425892,18074.733487999998,13.831462586487241
7,test,125000,160,-20.95000000000001,-21,-20,0.05,1750000,1000000,-1.65066,0,437500,191972.01047100002,8939.568925,13.98277713933505
8,train,250000,306,-20.73856209150327,-21,-19,0.1,2000000,1000000,-1.75016,0.000512333175297,500000,210127.19806300002,18155.18428700001,13.770171431364213
8,test,125000,148,-20.986486486486488,-21,-20,0.05,2000000,1000000,-1.75016,0,500000,219027.38877700001,8900.17532000001,14.044667156062255
9,train,250000,306,-20.722222222222225,-21,-19,0.1,2250000,1000000,-1.81994,0.000459460514417,562500,237127.805838,18100.413951999974,13.81183881556348
9,test,125000,159,-20.534591194968556,-21,-20,0.05,2250000,1000000,-1.81994,0,562500,246060.69739900003,8932.870010000013,13.993263067756184
10,train,250000,311,-20.858520900321547,-21,-19,0.1,2500000,1000000,-1.89738,0.000420447786758,625000,264142.487301,18081.786729999963,13.826067287101584
10,test,125000,167,-21.0,-21,-21,0.05,2500000,1000000,-1.89738,0,625000,273063.187743,8920.684532999992,14.012377585777374
11,train,250000,301,-20.77076411960132,-21,-18,0.1,2750000,1000000,-1.9537,0.000385384764146,687500,291069.02637800004,18005.83564200002,13.884387538052133
11,test,125000,161,-20.9192546583851,-21,-19,0.05,2750000,1000000,-1.9537,0,687500,299983.180125,8914.137349000026,14.022669284316368
12,train,250000,307,-20.830618892508134,-21,-19,0.1,3000000,1000000,-1.99047,0.000355242599046,750000,318038.41894400003,18055.235771000036,13.846399081730357
12,test,125000,149,-20.979865771812086,-21,-20,0.05,3000000,1000000,-1.99047,0,750000,326923.384314,8884.948373000021,14.068736784093828
13,train,250000,308,-20.8116883116883,-21,-19,0.1,3250000,1000000,-2.03033,0.000327094406225,812500,344998.550369,18075.163003999973,13.831133912578041
13,test,125000,167,-21.0,-21,-21,0.05,3250000,1000000,-2.03033,0,812500,353932.921127,8934.353186000022,13.990940071170776
14,train,250000,309,-20.79288025889968,-21,-18,0.1,3500000,1000000,-2.06528,0.000307545391876,875000,372036.747852,18103.823556999967,13.809237546580915
14,test,125000,167,-21.0,-21,-21,0.05,3500000,1000000,-2.06528,0,875000,380987.987704,8951.22205500002,13.964573689709423
15,train,250000,304,-20.773026315789476,-21,-18,0.1,3750000,1000000,-2.08929,0.000287175209259,937500,399030.200764,18042.210007000016,13.856395635734481
15,test,125000,159,-20.572327044025148,-21,-20,0.05,3750000,1000000,-2.08929,0,937500,407942.172243,8911.952466999996,14.026107125555438
16,train,250000,307,-20.74267100977197,-21,-20,0.1,4000000,1000000,-2.10979,0.000270286227486,1000000,426014.714445,18072.53895899997,13.8331421261373
16,test,125000,161,-20.993788819875775,-21,-20,0.05,4000000,1000000,-2.10979,0,1000000,434932.474079,8917.738836999983,14.017006136283227
17,train,250000,310,-20.76774193548386,-21,-19,0.1,4250000,1000000,-2.12828,0.000254354093155,1062500,453240.482979,18308.00244499999,13.655230861533791
17,test,125000,167,-21.0,-21,-21,0.05,4250000,1000000,-2.12828,0,1062500,462166.178432,8925.679602999997,14.004535851587866
