epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
0,random,50000,54,-20.185185185185183,-21,-17,1,0,50000,0.0,0,0,2336.511575,2336.51156,21.39942333518778
1,train,250000,277,-20.256317689530682,-21,-17,0.8875,250000,300000,-0.406506,0.0038602833686,62500,15505.654948,13168.211351999998,18.985114478894644
1,test,125000,167,-21.0,-21,-21,0.05,250000,300000,-0.406506,0,62500,20895.420229,5389.728907000001,23.192261087130774
2,train,250000,283,-20.332155477031797,-21,-16,0.775,500000,550000,-0.751032,0.00192126870672,125000,31077.682580999997,10182.259465,24.55250731523173
2,test,125000,160,-20.893750000000008,-21,-19,0.05,500000,550000,-0.751032,0,125000,35962.457248,4884.758818999995,25.589799748923923
3,train,250000,288,-20.35416666666667,-21,-17,0.6625,750000,800000,-1.01361,0.00127440089242,187500,46265.84665,10303.386436,24.263867181230896
3,test,125000,161,-20.993788819875775,-21,-20,0.05,750000,800000,-1.01361,0,187500,51429.32757,5163.459345000003,24.208576391918882
4,train,250000,301,-20.541528239202673,-21,-18,0.55,1000000,1000000,-1.23312,0.000965728671534,250000,61843.484103,10414.153697000002,24.005791279229665
4,test,125000,160,-20.581250000000008,-21,-20,0.05,1000000,1000000,-1.23312,0,250000,66723.16229,4879.656111999997,25.61655926789623
5,train,250000,304,-20.61842105263158,-21,-17,0.4375,1250000,1000000,-1.41334,0.000790051492075,312500,77239.78392799999,10516.618712999989,23.771899202827004
5,test,125000,150,-20.973333333333326,-21,-20,0.05,1250000,1000000,-1.41334,0,312500,82114.235622,4874.434790999992,25.643998814138655
6,train,250000,302,-20.589403973509945,-21,-18,0.32499999999999996,1500000,1000000,-1.55636,0.000669700984803,375000,92724.182871,10609.944516999996,23.562799937307165
6,test,125000,167,-21.0,-21,-21,0.05,1500000,1000000,-1.55636,0,375000,97599.970569,4875.766696999999,25.63699368079096
7,train,250000,301,-20.68770764119601,-21,-18,0.2124999999999999,1750000,1000000,-1.6787,0.000583453794245,437500,109989.531058,12389.557696000003,20.178282884199575
7,test,125000,159,-20.553459119496864,-21,-20,0.05,1750000,1000000,-1.6787,0,437500,114876.129416,4886.580579000001,25.580259647653293
8,train,250000,305,-20.655737704918042,-21,-19,0.1,2000000,1000000,-1.77729,0.000522372074389,500000,127555.919726,12679.787320000003,19.716419029022006
8,test,125000,150,-20.99333333333333,-21,-20,0.05,2000000,1000000,-1.77729,0,500000,132436.664121,4880.726246000006,25.610942654782907
9,train,250000,307,-20.745928338762212,-21,-19,0.1,2250000,1000000,-1.8492,0.000461373111856,562500,143310.83832,10874.171425999986,22.990257391220965
9,test,125000,167,-21.0,-21,-21,0.05,2250000,1000000,-1.8492,0,562500,148186.490836,4875.631361000007,25.637705303126552
10,train,250000,307,-20.82736156351791,-21,-19,0.1,2500000,1000000,-1.91536,0.000423679275577,625000,159933.092287,11746.598509000003,21.282756860077846
10,test,125000,159,-20.509433962264154,-21,-20,0.05,2500000,1000000,-1.91536,0,625000,164910.037194,4976.921747999993,25.115926335436562
11,train,250000,306,-20.732026143790854,-21,-19,0.1,2750000,1000000,-1.96082,0.000384839968519,687500,175806.936675,10896.896617999999,22.942311812616303
11,test,125000,160,-20.568750000000005,-21,-20,0.05,2750000,1000000,-1.96082,0,687500,180682.555492,4875.6022860000085,25.637858190141923
12,train,250000,308,-20.80194805194806,-21,-19,0.1,3000000,1000000,-2.00781,0.000356834186766,750000,191581.760251,10899.201849999983,22.93745940671797
