epoch,phase,steps,nr_games,average_reward,min_game_reward,max_game_reward,last_exploration_rate,total_train_steps,replay_memory_count,meanq,meancost,weight_updates,total_time,epoch_time,steps_per_second
0,random,50000,151,-20.423841059602648,-21,-18,1,0,50000,0.0,0,0,9635.828601,9635.828588999999,5.188967356380608
1,train,250000,766,-20.43733681462144,-21,-17,0.775,250000,300000,-1.14028,0.0102650320508,62500,58136.088762,48499.427821000005,5.154699987857409
1,test,125000,187,-20.76470588235294,-21,-20,0.05,250000,300000,-1.14028,0,62500,68564.103341,10427.977514999999,11.986984035993101
2,train,250000,740,-20.558108108108122,-21,-15,0.55,500000,550000,-2.01941,0.0051465916722,125000,114015.088888,45450.982393,5.500431164244825
2,test,125000,183,-20.73224043715847,-21,-19,0.05,500000,550000,-2.01941,0,125000,124411.736388,10396.63171300001,12.023124743728227
3,train,250000,649,-20.60554699537751,-21,-17,0.32499999999999996,750000,800000,-2.63896,0.00355125346997,187500,163760.170443,39348.43068799999,6.353493535289629
3,test,125000,187,-20.834224598930472,-21,-19,0.05,750000,800000,-2.63896,0,187500,174177.324033,10417.134560000006,11.999461011090167
4,train,250000,497,-20.613682092555337,-21,-19,0.1,1000000,1000000,-2.96807,0.00267633419813,250000,203993.58123900002,29816.254086,8.384688407836773
4,test,125000,184,-20.798913043478255,-21,-20,0.05,1000000,1000000,-2.96807,0,250000,214361.520408,10367.920589999994,12.056419502341122
5,train,250000,410,-20.692682926829242,-21,-19,0.1,1250000,1000000,-3.0486,0.00196826891397,312500,238361.685302,24000.16184699998,10.416596421046634
5,test,125000,185,-20.810810810810803,-21,-20,0.05,1250000,1000000,-3.0486,0,312500,248785.990919,10424.282471999992,11.991233001960051
6,train,250000,406,-20.679802955665036,-21,-19,0.1,1500000,1000000,-3.0049,0.0014145483368,375000,272727.673604,23941.679608000006,10.442040996842326
6,test,125000,184,-20.788043478260867,-21,-19,0.05,1500000,1000000,-3.0049,0,375000,283137.427863,10409.733822999988,12.007991954973559
7,train,250000,410,-20.73658536585367,-21,-19,0.1,1750000,1000000,-2.9221,0.00102680929941,437500,307153.307014,24015.87626400002,10.409780482369985
7,test,125000,185,-20.799999999999994,-21,-19,0.05,1750000,1000000,-2.9221,0,437500,317551.152143,10397.825683999981,12.021744141407192
8,train,250000,408,-20.65196078431373,-21,-19,0.1,2000000,1000000,-2.84368,0.000806084120333,500000,341568.20579000004,24017.050390000048,10.409271577499467
8,test,125000,184,-20.771739130434778,-21,-19,0.05,2000000,1000000,-2.84368,0,500000,352001.312349,10433.089101999998,11.981111133809621
9,train,250000,410,-20.660975609756097,-21,-18,0.1,2250000,1000000,-2.78409,0.000696207282798,562500,376059.136079,24057.820846999995,10.391631128601365
9,test,125000,184,-20.766304347826093,-21,-19,0.05,2250000,1000000,-2.78409,0,562500,386467.647133,10408.495441000035,12.009420641874264
10,train,250000,408,-20.696078431372555,-21,-19,0.1,2500000,1000000,-2.73788,0.000625984095104,625000,410556.424019,24088.77361199999,10.378278447328707
10,test,125000,184,-20.76630434782609,-21,-19,0.05,2500000,1000000,-2.73788,0,625000,420971.09913700004,10414.657418000046,12.002315101018857
11,train,250000,408,-20.681372549019596,-21,-19,0.1,2750000,1000000,-2.69427,0.000562082685428,687500,445058.76402400003,24087.66174400004,10.37875750070561
11,test,125000,184,-20.695652173913036,-21,-19,0.05,2750000,1000000,-2.69427,0,687500,455490.819983,10432.03932099999,11.982316798631258
12,train,250000,409,-20.687041564792192,-21,-19,0.1,3000000,1000000,-2.66469,0.00051799835548,750000,479503.696086,24012.87290299998,10.411082464387963
12,test,125000,184,-20.804347826086964,-21,-20,0.05,3000000,1000000,-2.66469,0,750000,489909.36071800004,10405.644587000017,12.01271088541358
13,train,250000,409,-20.633251833740832,-21,-19,0.1,3250000,1000000,-2.64402,0.000469605796498,812500,513945.270057,24035.905846999958,10.401105811920283
13,test,125000,183,-20.765027322404368,-21,-20,0.05,3250000,1000000,-2.64402,0,812500,524368.574719,10423.286812999984,11.992378435187955
14,train,250000,408,-20.656862745098042,-21,-19,0.1,3500000,1000000,-2.62268,0.000432798539769,875000,548387.737142,24019.159194999957,10.408357676901623
14,test,125000,185,-20.79999999999999,-21,-19,0.05,3500000,1000000,-2.62268,0,875000,558804.443177,10416.687354000052,11.99997616823927
15,train,250000,407,-20.69287469287468,-21,-19,0.1,3750000,1000000,-2.6162,0.000404832372057,937500,582836.704277,24032.258003000054,10.402684590386446
15,test,125000,185,-20.805405405405413,-21,-20,0.05,3750000,1000000,-2.6162,0,937500,593262.313965,10425.585943999933,11.989733782966818
